"city_id","city_name","province","population","x_coord","y_coord","latitude","longitude"
1,"Utrecht",5,0.32114999999999999,0,0,52.090000000000003,5.1200000000000001
3,"Amersfoort",1,0.14843000000000001,0,0,52.159999999999997,5.3899999999999997
2,"Bunnik",2,0.01422,0,0,52.07,5.2000000000000002
4,"1",6,0.00108,0,0,52.211493702015851,5.2506104102164244
5,"2",3,0.018669999999999999,0,0,52.096645842944589,5.0552458143472423
6,"3",2,0.0053899999999999998,0,0,52.019650344500072,5.2808120442923201
7,"4",3,0.012460000000000001,0,0,52.255989843194108,5.310839291140633
8,"5",1,0.020119999999999999,0,0,52.19479860042302,5.3691266068365762
9,"6",1,0.00329,0,0,51.969769907629512,5.2987536500536461
10,"7",2,0.0035100000000000001,0,0,52.16647632612397,5.0137778527610619
11,"8",6,0.016799999999999999,0,0,52.179396788499062,5.3353338182433365
12,"9",5,0.00231,0,0,52.135313589719424,5.3674680954971246
13,"10",3,0.01669,0,0,52.155315073135412,4.9945505597546349
14,"11",3,0.016709999999999999,0,0,52.063539587806801,5.141928303905396
15,"12",1,0.00034000000000000002,0,0,52.056963012740724,5.1954803092895281
16,"13",1,0.0103,0,0,52.043977158925941,5.1557415333892624
17,"14",1,0.0053800000000000002,0,0,52.121427538191888,5.1964975032475831
18,"15",5,0.01975,0,0,52.059318758427992,5.2606996179915306
19,"16",6,0.01421,0,0,52.227811945093237,5.2873473612235724
20,"17",4,0.00298,0,0,51.952872794492571,5.2166899194291574
21,"18",4,0.0092499999999999995,0,0,52.135685587091828,5.1374585275861202
22,"19",3,0.0095899999999999996,0,0,52.040410812977498,5.2839138973526207
23,"20",5,0.0048300000000000001,0,0,52.050523090593678,5.2090208113381422
24,"21",1,0.0049800000000000001,0,0,52.036395417948896,5.2792452418348637
25,"22",5,0.0015299999999999999,0,0,52.003516026815433,5.2694980440883743
26,"23",4,0.0013699999999999999,0,0,52.218648726206517,5.0894301203513477
27,"24",3,0.0024299999999999999,0,0,52.192021967638958,5.1693829396164652
28,"25",3,0.0080800000000000004,0,0,52.221034866382425,5.2038617171381478
29,"26",4,0.0084200000000000004,0,0,52.048091281398797,5.0653656825253801
30,"27",5,0.01204,0,0,52.211089997441633,5.0450990365164348
31,"28",5,0.018460000000000001,0,0,52.187542584174835,5.2713919590715701
32,"29",1,0.019220000000000001,0,0,52.069755864803,5.3683450018859462
33,"30",5,0.01366,0,0,52.037223900684474,5.0593642695681993
34,"31",6,0.013220000000000001,0,0,52.203813020086749,5.1797532869793121
35,"32",2,0.017950000000000001,0,0,52.114418814330598,5.2214537631514659
36,"33",3,0.0024199999999999998,0,0,52.145852065636852,5.2889137307858913
37,"34",5,0.00745,0,0,52.062729043993343,5.346878717783202
38,"35",4,0.014019999999999999,0,0,52.01305362641709,5.0611909282935343
39,"36",3,0.020230000000000001,0,0,52.125279669100578,5.0842503519629458
40,"37",4,0.015970000000000002,0,0,52.260406753819289,5.1969319621050039
41,"38",4,0.0027000000000000001,0,0,51.949325392534796,5.2193639791881177
42,"39",1,0.018280000000000001,0,0,52.147062837344926,5.4253402271964228
43,"40",6,0.01116,0,0,52.072592153276624,5.3024377969120806
44,"41",6,0.0051599999999999997,0,0,52.089258599529281,5.1515220133426949
45,"42",2,0.0064900000000000001,0,0,52.191734396942252,5.3151813539513126
46,"43",2,0.0023,0,0,51.96805506311766,5.1157525231529188
47,"44",1,0.010449999999999999,0,0,52.135119497888923,5.0989580449094971
48,"45",3,0.01546,0,0,52.135168400010279,5.3536404709040015
49,"46",6,0.01523,0,0,52.129382399318118,5.0672039452475941
50,"47",1,0.015100000000000001,0,0,52.072309866872629,5.0739861654925305
51,"48",2,0.01323,0,0,52.226196752391573,5.1980046811712697
52,"49",5,0.00975,0,0,52.117043362535206,5.4864931306654174
53,"50",5,0.015779999999999999,0,0,52.056568929199322,5.0121922047156344
